Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2010,10,25,14:42:22,-3.487,100.082,20.1,7.8,"Kepulauan Mentawai region, Indonesia",1288017742
2009,09,02,07:55:01,-7.782,107.297,46,7,"Java, Indonesia",1251878101
2008,02,25,08:36:33,-2.486,99.972,25,7.2,"Kepulauan Mentawai region, Indonesia",1203928593
2007,09,13,03:35:28,-2.13,99.627,22,7,"Kepulauan Mentawai region, Indonesia",1189654528
2007,09,12,23:49:03,-2.625,100.841,35,7.9,"Kepulauan Mentawai region, Indonesia",1189640943
2007,09,12,11:10:26,-4.438,101.367,34,8.4,"southern Sumatra, Indonesia",1189595426
2007,08,08,17:05:04,-5.859,107.419,280,7.5,"Java, Indonesia",1186592704
2006,07,17,08:19:26,-9.284,107.419,20,7.7,"south of Java, Indonesia",1153124366
2004,07,25,14:35:19,-2.427,103.981,582.1,7.3,"southern Sumatra, Indonesia",1090766119
2001,02,13,19:28:30,-4.68,102.562,36,7.4,"southern Sumatra, Indonesia",982092510
2000,06,04,16:28:26,-4.721,102.087,33,7.9,"southern Sumatra, Indonesia",960136106
